"2018/2019","2","2","1","45","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2158"
"2018/2019","2","2","1","29","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2159"
"2018/2019","2","2","1","6","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2160"
"2018/2019","2","2","1","40","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2161"
"2018/2019","2","2","1","42","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2162"
"2018/2019","2","2","1","41","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2163"
"2018/2019","2","2","1","18","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2164"
"2018/2019","2","2","1","4","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2165"
"2018/2019","2","2","1","7","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2166"
"2018/2019","2","2","1","9","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2167"
"2018/2019","2","2","1","1","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2168"
"2018/2019","2","2","1","13","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2169"
"2018/2019","2","2","1","2","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2170"
"2018/2019","2","2","1","21","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2171"
"2018/2019","2","2","1","22","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2172"
"2018/2019","2","2","1","23","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2173"
"2018/2019","2","2","1","24","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2174"
"2018/2019","2","2","1","25","24550","ND SCIENCES - MORNING - SCHOOL FEE","4","2175"
"2018/2019","2","2","1","12","24550","ND SHSS - MORNING - SCHOOL FEE","4","2176"
"2018/2019","2","2","1","36","23800","ND OTHER COURSES - MORNING - SCHOOL FEE","5","2177"
"2018/2019","2","2","1","34","23800","ND OTHER COURSES - MORNING - SCHOOL FEE","5","2178"
"2018/2019","2","2","1","33","23800","ND OTHER COURSES - MORNING - SCHOOL FEE","5","2179"
"2018/2019","2","2","1","37","23800","ND OTHER COURSES - MORNING - SCHOOL FEE","5","2180"
"2018/2019","2","2","1","38","23800","ND OTHER COURSES - MORNING - SCHOOL FEE","5","2181"
"2018/2019","2","2","1","32","23800","ND OTHER COURSES - MORNING - SCHOOL FEE","5","2182"
"2018/2019","2","2","1","35","23800","ND OTHER COURSES - MORNING - SCHOOL FEE","5","2183"
"2018/2019","2","2","1","3","23800","ND OTHER COURSES - MORNING - SCHOOL FEE","5","2184"
