ID,COURSE CODE,COURSE TITLE
129,G.S 302,BUSINESS CREATION & GROWTH
130,ED 323,EARLY CHILDHOOD EDUCATION
131,ED   411,EDUCATIONAL PSYCHOLOGY III
132,ED 452,TEACHING PRACTICE II
133,INT.SC 441,SPACE SCIENCE 
134,INT.SC 358,INTRODUCTION TO BIOPHYSICS
135,INT.SC 451,WORKSHOP PRACTICE
136,ZOO 304,LABORATORY TECHNIQUES
137,BIO 351,GENERAL GENETICS
138,INT.SC 462,ENVIRONMENTAL POLLUTION
139,CHEM 391,CHEMICAL INDUCTRY & THE ENVIRONMENT
140,ED 442,MEASUREMENT AND EVALUTION
141,ED 432,EDUCATIONAL ADMINISTRATION
142,ED 451,RESEARCH PROJECT
143,INT.SC 442,ENERGY SOURCE & TRANSPORT 
144,INT.SC 432,INDUSTRIAL PROCESSES
145,INT.SC 452,ANALYTICAL PROCESSES
146,MAT 111 ,Algebra
147,MAT 112 ,Trigonometry
148,MAT 113,History of Mathematics
149,MAT 114,Complex  Number
150,MAT 115,Statistics
151,MAT 121 ,Differential Calculus
152,MAT 122 ,Co-ordinate Geometry
153,MAT 123 ,Math’s Methodology
154,MAT 124 ,Math’s Lab Practical’s
155,MAT 125 ,Introduction to Computer
156,MAT 211,Integral Calculus
157,MAT 212,Problem Solving
158,MAT 213,Number Theory
159,MAT 214,Probability
160,MAT 211,Dynamics
161,MAT 222,Vector Analysis
162,MAT 223,Real Analysis
163,MAT 224,JSS Contents
164,MAT 321 ,Static
165,MAT 322 ,Linear Algebra
166,MAT 323 ,Real Analysis II
167,MAT 324 ,Abstract Algebra
168,MAT 325 ,Differential Equations
